ID do Documento;Título Original do Artigo;Autores;Ano de Publicação;Periódico/Conferência;URL/Link para o Artigo (SCOPUS/DOI);String de Busca SCOPUS Utilizada;Caminho do Arquivo de Texto Extraído (.txt);Resumo Gerado pela IA (Gemini);Categorias Atribuídas pela IA (Gemini);Relevância Manual (S/N/Parcial);Notas/Comentários Manuais;Palavras-chave do Autor;Abstract Original;Status de Leitura;Prioridade;PDF Disponível?
Human-managed-Soils;Human-managed soils and soil-managed humans: An interactive account of perspectival realism for soil management;Kendig, Catherine;2024;Journal of Social Ontology;https://doi.org/10.25365/jso-2024-7690;"""soil ontology""";;;;;;;"What is philosophically interesting about how soil is managed and categorized? This paper begins by investigating how different soil ontologies develop and change as they are used within different social communities. Analyzing empirical evidence from soil science, ethnopedology, sociology, and agricultural extension reveals that efforts to categorize soil are not limited to current scientific soil classifications but also include those based in social ontologies of soil. I examine three of these soil social ontologies: (1) local and Indigenous classifications farmers and farming communities use to conceptualize their relationships with soil in their fields; (2) categorizations ascribed to farmers in virtue of their agricultural goals and economic priorities relied upon in sociological research; and (3) federal agency classifications of land capability employed by agricultural scientists. Studying the interplay of these social ontologies shows how assessing soil properties and capabilities are the result of previous agricultural strategies informed by culture, agroecological history, weather, soil biodiversity, crop rotation, and the goals held by decision-makers. The paper then identifies the soil relationships and interactions that constitute ontology-making activities. Building on recent work, I outline a novel interactive account of perspectival realism grounded in agricultural extension research and ethnopedological data that captures the haptic nature of farmers’ soil strategies. This interactive account explains how ontologies are chosen, why they are chosen, and how they interact and inform soil management decision-making. The paper concludes by examining the values laden in these ontologies and those which are causally implicated in the choice of soil management strategies. © 2024 Author(s) published by the Journal of Social Ontology.";;;
Optimal-seismic-solution;Optimal seismic solution design for underground frame structure of subway station considering uniform damage;"Sun, Hongshuo; Dai, Hongtao";2024;Applied Mathematics and Nonlinear Sciences;https://doi.org/10.2478/amns.2023.2.00626;"""soil ontology""";c:\workspace\artigos\Ontologia de Solos\Pesquisa SCOPUS\Textos_Extraidos\Optimal-seismic-solution.txt;Este estudo investiga a resposta sísmica de estruturas subterrâneas de estações de metrô usando modelagem de elementos finitos com um modelo de plasticidade de Mohr-Coulomb para o solo. A pesquisa analisa o efeito de diferentes formas de estações, resistência do concreto e rigidez do solo no desempenho sísmico da estrutura. Os resultados indicam que a forma da estação e a rigidez do solo influenciam significativamente o desempenho sísmico, enquanto a resistência do concreto tem um impacto mínimo. Em solos mais rígidos, a deformação da estrutura subterrânea é menor.;Outros;;;;Based on the dynamic finite element theory, this paper establishes a fully coupled Mohr-Coulomb plastic finite element model of the soil ontology with the A metro station structure as the research object, conducts a nonlinear dynamic response analysis of the model structure, studies the variation of the seismic response of the model under different vibrations, soil material parameters and concrete parameters, and analyzes the influence of the station structure form on the displacement. In EL-2 condition, the first pair displacement of the S3 measurement point of the rectangular station is 5.695 mm, and the displacement of the arch-shaped station is 2.5 mm less than that of the rectangular station. The relative displacement of soil shear modulus with Gmax=200 MPa is 2.3 mm less than that of soil shear modulus with Gmax=80 MPa in the case of sidewall height of 3 m, which indicates that both the shape of station and soil stiffness has an effect on the seismic performance of the station. Influence on the seismic performance of the station. The research in this paper has an important reference value for the seismic design of underground frames of subway stations. © 2023 Hongshuo Sun and Hongtao Dai, published by Sciendo.;;;Sim
Design-of-Multiple-Ontology;Design of Multiple Ontology Based Agro Knowledge Mining Model;"Abdullah, Azween; Murali, E.; Sreeji, S.; Balusamy, Balamurugan; Rajashree, S.";2023;International Journal on Recent and Innovation Trends in Computing and Communication;https://doi.org/10.17762/ijritcc.v11i7.7829;"""soil ontology""";c:\workspace\artigos\Ontologia de Solos\Pesquisa SCOPUS\Textos_Extraidos\Design-of-Multiple-Ontology.txt;"Este artigo apresenta o desenvolvimento de um sistema de gerenciamento de conhecimento agrícola baseado em múltiplas ontologias. O sistema integra ontologias de solo, cultura, localização e estação de cultivo para fornecer conhecimento agronômico, classificando hierarquicamente informações sobre minerais do solo, tipos de culturas, locais adequados para diferentes culturas e estações apropriadas para o cultivo. A veracidade da base de conhecimento é validada por meio de um conjunto de regras, e a visualização do conhecimento facilita a compreensão e tomada de decisões. Os resultados indicam que a base de conhecimento agro de múltiplas ontologias oferece melhores resultados em comparação com as ontologias individuais de solo, cultura, localização e estação de cultivo.
";"Aplicações de Ontologia de Solos em Agricultura de Precisão; Modelagem Semântica de Solos";;;;Farming is regarded as a major industry in India, accounting for 17% of the country's GDP growth. Agriculture employs 60% of the population hence it is considered an important sector in India. The important factors for agriculture are pest management, disease prevention, irrigation management, soil mineral composition, crop management, location, and the season in which the crop is grown. Hence all this information along with the techniques are well known only by the experienced farmers. Hence it is important to create an agro knowledge management system. As a result, this work makes an attempt to develop a multiple ontology-based agro knowledge management system. The designed system consists of agriculture information related to attributes of soil mineral, moisture, season, location, crop type, and temperature. It consists of multiple ontologies such as soil ontology, crop ontology, location ontology, and crop season ontology to provide agronomy knowledge. Soil ontology is premeditated to classify the soil type in a hierarchical order while crop ontology classifies the crop type, location ontology classifies locations suitable for different crop types and finally, crop season ontology classifies the season that is suitable for different crops. A rule base is built to develop the knowledge base and to validate the truthfulness of the knowledge base. Visualization of a knowledge base is carried out for better understanding and decision-making. © 2023 International Journal on Recent and Innovation Trends in Computing and Communication. All rights reserved.;;;Sim
An-Ontology-based-Knowledge;An Ontology-based Knowledge Mining Model for Effective Exploitation of Agro Information;"Murali, E.; Anouncia, S. Margret";2023;IETE Journal of Research;https://doi.org/10.1080/03772063.2022.2058629;"""soil ontology""";c:\workspace\artigos\Ontologia de Solos\Pesquisa SCOPUS\Textos_Extraidos\An-Ontology-based-Knowledge.txt;"Este documento propõe um modelo de mineração de conhecimento baseado em ontologia para a exploração efetiva de informações agrícolas. O modelo utiliza ontologias de solo, localização, estação e cultura, juntamente com uma abordagem de mineração incremental para extrair conhecimento de múltiplas ontologias. Um sistema de gerenciamento de conhecimento agrícola baseado em ontologia e um conjunto de regras são construídos para melhorar a expressividade do conhecimento. A visualização é utilizada para auxiliar na tomada de decisões, e a avaliação das regras demonstra o desempenho aprimorado do modelo de mineração incremental de múltiplas ontologias em relação aos modelos de ontologia individual.
";"Aplicações de Ontologia de Solos em Agricultura de Precisão; Modelagem Semântica de Solos";;;;The quality of agriculture depends on the quality of the yield, which is usually obtained through the well-being of the crop. The quality of any crop depends on the minerals in the soil, the type of soil, the location, and the seasons. The crop yield depends on soil fertility, availability of water, climate, and disease prevention. Although this information is prevailing in plenty among the expert farmers, the means of abducting the information to the future generation has not been much promoted. Hence, the knowledge disseminated regarding agriculture becomes scarce, affecting the entire agricultural process. Given these facts, a single source, strong knowledge management system is proposed to be designed. The system aims to embrace the different kinds of knowledge associated with agriculture and attempt to obtain a single source of agro information that is very much usable and reusable to the users. To ensure the maximum level of reusability, the knowledge of the domain needs to be modeled and represented in a way that is scalable and flexible. One of the knowledge representation techniques that emphasizes on reusability and scalability is ontology. Thus, this paper attempts to design an ontology-based agro knowledge management system. A rule base is constructed to improve the expressiveness of the knowledge. An incremental mining approach is adopted to extract the knowledge from multiple ontology. To understand better to aid decision-making, a visualization task is carried out. A multi ontology-based knowledge mining model is attempted in this research to provide better insight regarding agro knowledge. © 2023 IETE.;;;Sim
Supervised-Ontology-Oriented;Supervised Ontology Oriented Deep Neural Network to Predict Soil Health;"Mummigatti, Kushala Vijaya Kumar; Chandramouli, Supriya Maganahalli";2022;Revue d'Intelligence Artificielle;https://doi.org/10.18280/ria.360220;"""soil ontology""";c:\workspace\artigos\Ontologia de Solos\Pesquisa SCOPUS\Textos_Extraidos\Supervised-Ontology-Oriented.txt;"Este estudo propõe um modelo de ontologia de domínio para solos e utiliza uma rede neural profunda para classificar a saúde do solo com base em seis parâmetros químicos. A ontologia serve como base de conhecimento, e a rede neural, implementada com MATLAB e Keras, alcança uma precisão de 92% usando o algoritmo Scaled Conjugate Gradient. O objetivo principal é classificar o solo como saudável ou não saudável para o cultivo, considerando suas propriedades químicas. Os resultados indicam que a combinação de ontologia e aprendizado profundo pode melhorar a precisão e a eficiência na avaliação da saúde do solo em comparação com abordagens de aprendizado de máquina tradicionais.
";"Modelagem Semântica de Solos; Aplicações de Ontologia de Solos em Agricultura de Precisão";;;;Soil health plays a vital role in agriculture. A nutrient-rich soil helps in better crop growth and high yield. The agriculture data in India is haphazard and no major effort is seen in maintaining them. Soil chemical property is a basic knowledge to decide on cultivation. Knowledge base to help farmers analyse the soil health by using the chemical properties as the main feature in predicting the health and quality of the soil before the cultivation is a key factor for a better production result. This study drives the idea of building a domain ontology model for soil and also utilizes a neural network in predicting the soil by classifying it as healthy or unhealthy based on six chemical parameters that explain the property of soil. Ontology plays as a knowledge base in storing the properties of the soil which also helps in enabling artificial intelligence concepts on the knowledge to make better decisions. MATLAB deep learning toolbox is used to implement the classification and also TensorFlow's Keras was used to handle the data pre-processing, normalization and also the network architecture to validate the result from the toolbox. MATLAB employs the Scaled Conjugate Gradient algorithm and performs with 92% accuracy in achieving the classification of soil. © 2022 Lavoisier. All rights reserved.;;;Sim
Ontofusioncrop;OntoFusionCrop: An Ontology Centric Approach for Crop Recommendation Based on Bagging and Semantic Alignment;"Chandramouli, Aparna; Deepak, Gerard";2022;Lecture Notes in Networks and Systems;https://doi.org/10.1007/978-3-031-02447-4_22;"""soil ontology""";;;;;;;Agriculture is a crucial source of livelihood. There are many farmers who take up farming as their main source of income. The major difficulty present among farmers is that their crop selection is not based on the soil and weather conditions. Thus, it is essential for farmers to know the necessary information regarding the different facets of crop production, best agricultural practices, suitable crops for a specific soil type to be grown in a particular weather, etc. A crop recommender system, which has accurate and precise information, serves as a means for the farmers to farm appropriate crops and get the best yield. This paper proposes an ontology-based recommender system to provide the appropriate details regarding crops and other information associated with them. The proposed OntoFusionCrop uses ontology cluster that includes soil ontology, crop ontology, geographical ontology and agricultural ontology. This strategy uses the crop recommendation dataset from Kaggle which is classified using bagging. The classified instances along with the ontology cluster are semantically aligned using spider monkey optimization algorithm from which we get facts after suitable verification. The query is asked by the user and the recommender system gives the output. The proposed model achieved 93.87% accuracy and A minimum of 0.05 FDR compared to the existing models. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.;;;
Toward-relational-materiality;Toward a relational materiality of soils introduction;"Krzywoszynska, Anna; Marchesi, Greta";2020;Environmental Humanities;https://doi.org/10.1215/22011919-8142297;"""soil ontology""";c:\workspace\artigos\Ontologia de Solos\Pesquisa SCOPUS\Textos_Extraidos\Toward-relational-materiality.txt;"Este documento propõe uma mudança para uma abordagem de ""materialidade relacional"" no estudo dos solos, reconhecendo suas complexas materialidades, múltiplas escalas e diversas ontologias e epistemologias. Argumenta que as relações entre humanos e solos precisam ser reexaminadas, indo além de uma visão superficial, para entender as dinâmicas socioecológicas intrínsecas. A pesquisa futura deve investigar o papel do capital, da governança e da quantificação na criação de relações destrutivas entre humanos e solos, enquanto valoriza os conhecimentos locais e a experimentação com novas formas de construir relações sustentáveis. O objetivo final é promover uma interdisciplinaridade crítica dos solos que conecte justiça agrária, governança da terra e a ciência para garantir o uso ético e sustentável dos solos.
";Outros;;;;As environmental matters, soils have been an object of inquiry primarily for the natural sciences, with social scientists and environmental humanities scholars occupied with the surface dramas of territory and its products. The invisibility of soils in much of public and intellectual life speaks not only to the literal invisibility of their subterranean elements but also to their taken-for-granted effectiveness as the material infrastructure of societies. Today's crisis of soil ecosystems calls for an urgent examination and improvement of human-soil relations. This is both an intellectual and a practical project. The authors believe that a crucial first step toward more just and sustainable human-soil relations is a critical reflection around soil knowledge practices and their onto-political effects. In this introduction, they open the field for such reflection by denaturalizing the category soil, discussing its complex materialities, its multiple scales, and the diversity of existing soil ontologies and epistemologies. In so doing they argue for a relational materiality approach to the study of soils. The authors place this relational materiality approach within a practical, political, and ethical project of re-embedding societies in soils and lands. Finally, they indicate emerging arenas of inquiry where a relational materiality approach to soils is needed. © 2020 Anna Krzywoszynska and Greta Marchesi.;;;Sim
making-time-for-soil;Making time for soil: Technoscientific futurity and the pace of care;Puig de la Bellacasa M.;2015;Social Studies of Science;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945122337&doi=10.1177%2f0306312715599851&partnerID=40&md5=a3a5a4fe76c160ee1ee8ba8251a59b85;"""soil ontology""";c:\workspace\artigos\Ontologia de Solos\Pesquisa SCOPUS\Textos_Extraidos\making-time-for-soil.txt;"Este artigo explora as ontologias do solo e as relações com o cuidado do solo, que são obscurecidas pelo *timescape* predominante da tecnociência.  Ele examina como as discussões contemporâneas sobre o futuro das ciências do solo expõem tensões entre a intensificação da produtividade e a necessidade de proteger o ritmo de renovação do solo. A pesquisa propõe que o modelo de ""teia alimentar"" da ecologia do solo apresenta relações alternativas entre humanos e solo, envolvendo profissionais ambientais na comunidade do solo.  Ao reconhecer essas maneiras de ""criar tempo"" para o solo como uma forma de ""tempo de cuidado"", revela-se uma diversidade de temporalidades interdependentes mais-que-humanas, interrompendo o apelo antropocêntrico dos *timescales* predominantes da tecnociência e sua noção redutiva de inovação.
";"Modelagem Semântica de Solos; Outros";;;;The dominant drive for understanding soil has been to pace its fertility with human demand. Today, warnings about soil’s exhaustion and endangered ecology raise concerns marked by fears of gloomy environmental futures, prompting scientists and soil practitioners urgently to develop better ways of taking care of soils. Yet the pace required by ecological soil care could be at odds with the predominant temporal orientation of technoscientific intervention, which is driven by an inherently progressivist, productionist and restless mode of futurity. Through a conceptual and historical approach to the soil sciences and other domains of soil knowledge, this article looks for soil ontologies and relations to soil care that are obscured by the predominant timescape. Contemporary discussions of the future of the soil sciences expose tensions between ‘progress as usual’ – by intensifying productivity – and the need to protect the pace of soil renewal. The intimate relation of soil science with productionism is being interrogated, as ecology attempts to engage with soil as a living community rather than a receptacle for crops. In this context, and beyond science, the ‘foodweb’ model of soil ecology has become a figure of alternative human–soil relations that involve environmental practitioners in the soil community. Reading these ways of making time for soil as a form of ‘care time’ helps to reveal a diversity of more-than-human interdependent temporalities, disrupting the anthropocentric appeal of predominant timescales of technoscientific futurity and their reductive notion of innovation. © 2015, © The Author(s) 2015;;;Sim
Towards-ontology-based;Towards an ontology-based soil information system;"Shu, Yanfeng; Liu, Qing";2015;Proceedings - 21st International Congress on Modelling and Simulation, MODSIM 2015;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080962612&partnerID=40&md5=1f44034ec2bcdca85288a295ec0568d2;"""soil ontology""";;;;;;;Environmental information is critical to the sustainable use and management of the world's resources. Soils are a fundamental part of the environmental information requirement, and appropriate soil data and information are crucial to support evidence-based policy, planning and resource management decisions. For data to be useful, one basic requirement is that they be interpretable. Sufficient information should be provided to allow data to be unambiguously interpreted and used. Examples of such information include the location at which the soil was sampled, the property that was measured, the unit of measure, and quality assurance and quality control information. Furthermore, data should be easily integrated with other data sources, which is required in many modelling applications. For example, simulation of crop production may require, besides soil data, also weather, crop and fertilizer data. To meet these requirements, we have developed a soil ontology for modelling soil information. In this paper, we focus on the design of the ontology and its potential applications. We describe the use of the ontology to facilitate data access by mapping data to the ontology and making them available as Linked Data. We also discuss applications of the ontology for data integration, data classification and data validation. © 2020 Proceedings - 21st International Congress on Modelling and Simulation, MODSIM 2015. All rights reserved.;;;
Strengthening-soil-taxonomy;Strengthening soil taxonomy ontology software for description and classification of USDA soil taxonomy up to soil series;"Deb, C.K.; Marwaha, S.; Malhotra, P.K.; Wahi, S.D.; Pandey, R.N.";2015;2015 International Conference on Computing for Sustainable Global Development, INDIACom 2015;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960846412&partnerID=40&md5=65abf60234c54f356df07dc7d8793e9a;"""soil ontology""";;;;;;;Software's using ontology as their knowledge base are of due importance now a days due to their synergism with agents and Semantic Web Architecture. Ontologies provide domain language by defining domain concepts and relationships between them which is ultimately meaningful to both humans and machines. This is IEEE standard Web Ontology Language (OWL). Taxonomies are well-defined hierarchy existing in a standardized form to describe real world concepts in various domains of knowledge. The indispensable role of ontology in Agriculture is to convert the unstructured knowledge into structured one, sharing across application. Das (2010) and Das et al. (2012) developed Soil Ontology for USDA soil taxonomy for orders available in India to only Sub group level. This newly developed Soil Ontology has been strengthened and is now available up to family and series level for orders in India and also for the twelve orders worldwide. The web based application follows N-tier architecture. By mentioning the soil properties one can easily get information related to soil taxonomy and also newly found soils can be classified. Information edition or addition facilities of soil taxonomy are available with domain experts. Advance Search and series navigation keys can be use to easily get the detailed information of taxonomic hierarchy and state wise series description respectively. Its knowledge base is in the form of Ontology. © 2015 IEEE.;;;
Web-based-software-USDA;Web based software for the study of USDA soil taxonomy and classification of newly found soil;"Das, Manoranjan; Malhotra, P.K.; Marwaha, Sudeep; Pandey, R.N.";2014;Indian Journal of Agricultural Sciences;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907223855&partnerID=40&md5=9f1162b24121b226bb30b3606e40c348;"""soil ontology""";;;;;;;United States Department of Agriculture (USDA) Soil Taxonomy is based on soil properties that can be objectively observed and measured in the natural conditions as they exist today. There are many soil classification systems but USDA Soil Taxonomy is most accepted worldwide. Ontologies are the new form of knowledge representation that acts in synergy with agents and Semantic Web Architecture. Soil ontology developed for USDA soil taxonomy has been used to develop a query interface that will help in detailed study of soil taxonomy, classification of new soil as well as exchange knowledge between software agents and systems. This is a web based application having N-tier architecture. Application development environment is NetBeans 6. 9 editor and Protégé. Web development technology is Java Server Pages (JSP). Programming languages JAVA and SPARQL are used for querying. Client interface is developed with Hyper Text Markup Language (HTML), Cascading Style Sheet (CSS) and JavaScript. Third tier of software consist of database which is in MS-SQL server 2005. Other two layers are Web Ontology Language (OWL) Ontology layer and Semantic Web Framework layer. OWL layer contains soil taxonomy information in the form of Ontology. Semantic Web Framework layer is implemented using JENA. In the search panel user can search anything related to USDA Soil Taxonomy, which comprises of twelve orders. However, this software contains information about seven soil orders reported in India. Domain experts can see and edit the knowledge base (i. e. Soil Ontology) or can suggest anything related to the creation of Soil Taxonomy Ontology through WebProtégé.;;;
use-of-NLP-techniques;Use of NLP Techniques and High-Performance Computing for Automated Knowledge Based Ontology Construction of Saffron Crop;"Joshi, Manjushri Sanjay; Pangave, Vijaya Vijay";2025;Parallel and High-Performance Computing in Artificial Intelligence;https://doi.org/10.1201/9781003425458-10;snowballing An-Ontology-based-Knowledge;;;;;;;"The agriculture industry is very different from other industries, as it depends on many natural and climatic factors. Revolutionary changes are shaking up the way farming is done and opening up new opportunities and challenges. The amount of user-generated information about smart farming, green houses, and indoor farming that is available on the web keeps growing. Learning how to represent language and solve tasks from beginning to end without the help of human experts to extract and create features has made approaches more precise and much more challenging in terms of the number of parameters. This means that they need parallelized and distributed resources for high-performance computing. This chapter gives a knowledge-based representation of the most recent problems, algorithms, and models in the field of agriculture that involve natural language processing. Mainly we consider saffron crop cultivation. Additionally, the impact of high-performance computing for natural language processing (NLP) applications is shown by going into detail about deep learning approaches that use large amounts of data to train models before using them to understand text. In the proposed method, NLP techniques are used to prepare the data; rule-based formal concept analysis and mapping are used to analyze and map the tags that have been reduced; and finally weather, pests, and soil subdomain ontologies are built separately from the saffron agricultural domain data. © 2025 selection and editorial matter, Mukesh Raghuwanshi, Pradnya Borkar, Rutvij H. Jhaveri, and Roshani Raut.";;;
